Date,Description,Amount,Category
2024-01-01,Groceries Purchase,1500,Groceries
2024-01-02,Movie Tickets,500,Entertainment
2024-01-03,Monthly Rent,20000,Rent
2024-01-04,Internet Bill,800,Utilities
2024-01-05,Book Purchase,300,Education
2024-01-06,Taxi Fare,200,Transportation
2024-01-07,Dinner with Friends,1200,Dining Out
2024-01-08,Health Check-up,1500,Healthcare
2024-01-09,New Shoes,1500,Clothing
2024-01-10,Home Repair,2500,Home Improvement
2024-01-11,Streaming Subscription,400,Subscriptions
2024-01-12,Gift for Friend,600,Gifts
2024-01-13,Gym Membership,1000,Fitness
2024-01-14,Movie Streaming,500,Entertainment
2024-01-15,Bus Pass,300,Transportation
2024-01-16,Mobile Phone Bill,500,Utilities
2024-01-17,Online Course,2000,Education
2024-01-18,Restaurant Bill,800,Dining Out
2024-01-19,Doctor's Visit,1200,Healthcare
2024-01-20,Clothes Shopping,2000,Clothing
2024-02-01,Groceries,1600,Groceries
2024-02-02,Taxi,250,Transportation
2024-02-03,Restaurant,1000,Dining Out
2024-02-04,Books,500,Education
2024-02-05,Healthcare,1300,Healthcare
2024-02-06,New Clothes,2000,Clothing
2024-02-07,Internet,800,Utilities
2024-02-08,Streaming Subscription,400,Subscriptions
2024-02-09,Gift Purchase,700,Gifts
2024-02-10,Home Repair,2200,Home Improvement
2024-02-11,Movie Streaming,600,Entertainment
2024-02-12,Bus Fare,250,Transportation
2024-02-13,Mobile Bill,600,Utilities
2024-02-14,Doctor Visit,1400,Healthcare
2024-02-15,Clothing Purchase,1800,Clothing
2024-02-16,Pet Food,500,Pet Care
2024-02-17,Gym Membership,1100,Fitness
2024-02-18,Personal Care,600,Personal Care
2024-02-19,Hobby Items,1000,Hobbies
2024-02-20,Electricity,1200,Utilities
